Date,Open,High,Low,Close
7/1/2020,0.17%,0.18%,0.15%,0.16%
7/2/2020,0.16%,0.20%,0.15%,0.16%
7/6/2020,0.16%,0.18%,0.15%,0.16%
7/7/2020,0.18%,0.18%,0.15%,0.17%
7/8/2020,0.17%,0.19%,0.15%,0.17%
7/9/2020,0.17%,0.18%,0.15%,0.15%
7/10/2020,0.17%,0.17%,0.15%,0.16%
7/13/2020,0.16%,0.17%,0.14%,0.16%
7/14/2020,0.17%,0.19%,0.15%,0.16%
7/15/2020,0.17%,0.18%,0.13%,0.17%
7/16/2020,0.15%,0.18%,0.13%,0.15%
7/17/2020,0.17%,0.18%,0.13%,0.16%
7/20/2020,0.16%,0.16%,0.14%,0.15%
7/21/2020,0.14%,0.16%,0.14%,0.16%
7/22/2020,0.15%,0.16%,0.14%,0.16%
7/23/2020,0.15%,0.17%,0.14%,0.15%
7/24/2020,0.16%,0.17%,0.14%,0.14%
7/27/2020,0.16%,0.16%,0.14%,0.15%
7/28/2020,0.15%,0.16%,0.14%,0.15%
7/29/2020,0.15%,0.15%,0.12%,0.13%
7/30/2020,0.14%,0.14%,0.11%,0.11%
7/31/2020,0.12%,0.13%,0.11%,0.12%
8/3/2020,0.12%,0.13%,0.10%,0.12%
8/4/2020,0.12%,0.15%,0.11%,0.14%
8/5/2020,0.15%,0.15%,0.11%,0.14%
8/6/2020,0.14%,0.14%,0.12%,0.13%
8/7/2020,0.13%,0.16%,0.12%,0.14%
8/10/2020,0.14%,0.15%,0.12%,0.14%
8/11/2020,0.14%,0.16%,0.13%,0.14%
8/12/2020,0.14%,0.16%,0.13%,0.14%
8/13/2020,0.14%,0.16%,0.14%,0.14%
8/14/2020,0.15%,0.16%,0.14%,0.15%
8/17/2020,0.15%,0.15%,0.13%,0.13%
8/18/2020,0.14%,0.15%,0.12%,0.13%
8/19/2020,0.13%,0.14%,0.12%,0.13%
8/20/2020,0.13%,0.14%,0.12%,0.12%
8/21/2020,0.14%,0.15%,0.12%,0.14%
8/24/2020,0.14%,0.15%,0.12%,0.14%
8/25/2020,0.15%,0.16%,0.12%,0.13%
8/26/2020,0.13%,0.15%,0.12%,0.13%
8/27/2020,0.14%,0.15%,0.12%,0.13%
8/28/2020,0.14%,0.16%,0.12%,0.12%
8/31/2020,0.12%,0.16%,0.11%,0.14%
9/1/2020,0.15%,0.15%,0.12%,0.13%
9/2/2020,0.14%,0.14%,0.11%,0.13%
9/3/2020,0.13%,0.13%,0.11%,0.12%
9/4/2020,0.12%,0.14%,0.11%,0.14%
9/6/2020,0.14%,0.14%,0.14%,0.14%
9/8/2020,0.14%,0.15%,0.12%,0.13%
9/9/2020,0.15%,0.16%,0.13%,0.15%
9/10/2020,0.15%,0.16%,0.12%,0.14%
9/11/2020,0.15%,0.16%,0.12%,0.14%
9/14/2020,0.14%,0.15%,0.08%,0.14%
9/15/2020,0.14%,0.14%,0.13%,0.14%
9/16/2020,0.14%,0.14%,0.12%,0.12%
9/17/2020,0.12%,0.14%,0.08%,0.12%
9/18/2020,0.12%,0.15%,0.12%,0.12%
9/21/2020,0.13%,0.14%,0.11%,0.12%
9/22/2020,0.12%,0.14%,0.12%,0.13%
9/23/2020,0.12%,0.14%,0.12%,0.13%
9/24/2020,0.12%,0.14%,0.12%,0.12%
