Date,Open,High,Low,Close
10/2/2018,2.59%,2.61%,2.58%,2.60%
10/3/2018,2.59%,2.64%,2.59%,2.63%
10/4/2018,2.63%,2.64%,2.62%,2.63%
10/5/2018,2.63%,2.65%,2.62%,2.64%
10/8/2018,2.63%,2.63%,2.63%,2.63%
10/9/2018,2.64%,2.67%,2.63%,2.63%
10/10/2018,2.70%,2.72%,2.67%,2.68%
10/11/2018,2.68%,2.70%,2.67%,2.68%
10/12/2018,2.67%,2.69%,2.66%,2.67%
10/15/2018,2.67%,2.70%,2.66%,2.68%
10/16/2018,2.69%,2.69%,2.66%,2.67%
10/17/2018,2.67%,2.69%,2.67%,2.68%
10/18/2018,2.68%,2.69%,2.67%,2.68%
10/19/2018,2.68%,2.71%,2.67%,2.68%
10/22/2018,2.68%,2.70%,2.67%,2.68%
10/23/2018,2.69%,2.69%,2.65%,2.67%
10/24/2018,2.67%,2.68%,2.64%,2.64%
10/25/2018,2.65%,2.68%,2.64%,2.66%
10/26/2018,2.67%,2.67%,2.63%,2.64%
10/29/2018,2.64%,2.67%,2.63%,2.66%
10/30/2018,2.66%,2.67%,2.65%,2.67%
10/31/2018,2.66%,2.71%,2.66%,2.70%
11/1/2018,2.68%,2.69%,2.66%,2.68%
11/2/2018,2.67%,2.71%,2.67%,2.70%
11/5/2018,2.70%,2.71%,2.69%,2.70%
11/6/2018,2.70%,2.73%,2.68%,2.72%
11/7/2018,2.76%,2.78%,2.74%,2.76%
11/8/2018,2.76%,2.79%,2.74%,2.77%
11/9/2018,2.76%,2.77%,2.74%,2.75%
11/13/2018,2.75%,2.76%,2.73%,2.74%
11/14/2018,2.74%,2.75%,2.72%,2.73%
11/15/2018,2.73%,2.73%,2.71%,2.71%
11/16/2018,2.71%,2.72%,2.68%,2.68%
11/19/2018,2.69%,2.70%,2.67%,2.68%
11/20/2018,2.68%,2.69%,2.67%,2.68%
11/21/2018,2.68%,2.70%,2.67%,2.68%
11/23/2018,2.68%,2.69%,2.66%,2.68%
11/26/2018,2.68%,2.70%,2.68%,2.69%
11/27/2018,2.70%,2.71%,2.68%,2.70%
11/28/2018,2.70%,2.72%,2.69%,2.70%
11/29/2018,2.70%,2.71%,2.67%,2.70%
11/30/2018,2.70%,2.72%,2.68%,2.71%
12/3/2018,2.70%,2.74%,2.69%,2.72%
12/4/2018,2.73%,2.73%,2.71%,2.72%
12/5/2018,2.72%,2.72%,2.72%,2.72%
12/6/2018,2.75%,2.75%,2.70%,2.72%
12/7/2018,2.72%,2.73%,2.69%,2.70%
12/10/2018,2.71%,2.73%,2.69%,2.71%
12/11/2018,2.70%,2.73%,2.69%,2.72%
12/12/2018,2.72%,2.74%,2.71%,2.72%
12/13/2018,2.72%,2.72%,2.68%,2.71%
12/14/2018,2.71%,2.72%,2.69%,2.69%
12/17/2018,2.69%,2.70%,2.67%,2.67%
12/18/2018,2.68%,2.69%,2.64%,2.65%
12/19/2018,2.65%,2.68%,2.63%,2.65%
12/20/2018,2.65%,2.66%,2.65%,2.66%
12/21/2018,2.66%,2.66%,2.64%,2.66%
12/24/2018,2.65%,2.65%,2.61%,2.65%
12/26/2018,2.63%,2.63%,2.63%,2.63%
12/27/2018,2.62%,2.63%,2.59%,2.60%
12/28/2018,2.60%,2.61%,2.59%,2.61%
12/31/2018,2.60%,2.64%,2.59%,2.62%
1/2/2019,2.65%,2.65%,2.61%,2.62%
1/3/2019,2.62%,2.63%,2.52%,2.52%
1/4/2019,2.53%,2.60%,2.51%,2.59%
1/7/2019,2.58%,2.61%,2.56%,2.60%
1/8/2019,2.59%,2.63%,2.58%,2.63%
1/9/2019,2.62%,2.63%,2.60%,2.60%
1/10/2019,2.61%,2.62%,2.59%,2.62%
1/11/2019,2.61%,2.62%,2.58%,2.60%
1/14/2019,2.59%,2.60%,2.57%,2.60%
1/15/2019,2.60%,2.60%,2.57%,2.59%
1/16/2019,2.58%,2.60%,2.58%,2.58%
1/17/2019,2.58%,2.60%,2.57%,2.59%
1/18/2019,2.59%,2.62%,2.58%,2.61%
1/22/2019,2.62%,2.62%,2.59%,2.61%
1/23/2019,2.61%,2.62%,2.59%,2.61%
1/24/2019,2.61%,2.61%,2.59%,2.60%
1/25/2019,2.60%,2.62%,2.59%,2.61%
1/28/2019,2.61%,2.63%,2.60%,2.61%
1/29/2019,2.61%,2.63%,2.60%,2.61%
1/30/2019,2.63%,2.64%,2.58%,2.60%
1/31/2019,2.60%,2.60%,2.56%,2.57%
2/1/2019,2.57%,2.60%,2.56%,2.58%
2/4/2019,2.58%,2.59%,2.57%,2.58%
2/5/2019,2.58%,2.59%,2.57%,2.58%
2/6/2019,2.58%,2.59%,2.57%,2.57%
2/7/2019,2.57%,2.58%,2.54%,2.55%
2/8/2019,2.55%,2.56%,2.54%,2.55%
2/11/2019,2.55%,2.58%,2.55%,2.56%
2/12/2019,2.56%,2.58%,2.55%,2.56%
2/13/2019,2.56%,2.58%,2.56%,2.58%
2/14/2019,2.57%,2.57%,2.53%,2.55%
2/15/2019,2.55%,2.57%,2.54%,2.56%
2/19/2019,2.55%,2.58%,2.55%,2.56%
2/20/2019,2.56%,2.56%,2.54%,2.56%
2/21/2019,2.55%,2.58%,2.55%,2.57%
2/22/2019,2.57%,2.57%,2.55%,2.56%
2/25/2019,2.56%,2.58%,2.55%,2.56%
2/26/2019,2.56%,2.58%,2.54%,2.55%
2/27/2019,2.55%,2.57%,2.55%,2.56%
2/28/2019,2.56%,2.59%,2.54%,2.56%
3/1/2019,2.56%,2.58%,2.55%,2.57%
3/4/2019,2.57%,2.58%,2.55%,2.56%
3/5/2019,2.56%,2.59%,2.55%,2.56%
3/6/2019,2.56%,2.57%,2.55%,2.55%
3/7/2019,2.55%,2.56%,2.53%,2.55%
3/8/2019,2.54%,2.55%,2.53%,2.54%
3/11/2019,2.55%,2.56%,2.52%,2.55%
3/12/2019,2.55%,2.55%,2.53%,2.54%
3/13/2019,2.54%,2.55%,2.53%,2.54%
3/14/2019,2.53%,2.55%,2.52%,2.54%
3/15/2019,2.53%,2.55%,2.52%,2.53%
3/18/2019,2.54%,2.54%,2.51%,2.53%
3/19/2019,2.53%,2.55%,2.51%,2.52%
3/20/2019,2.52%,2.53%,2.46%,2.49%
3/21/2019,2.49%,2.51%,2.47%,2.50%
3/22/2019,2.50%,2.50%,2.46%,2.47%
3/25/2019,2.47%,2.47%,2.43%,2.44%
3/26/2019,2.44%,2.47%,2.41%,2.42%
3/27/2019,2.45%,2.46%,2.40%,2.41%
3/28/2019,2.41%,2.43%,2.39%,2.41%
3/29/2019,2.41%,2.43%,2.41%,2.42%
4/1/2019,2.42%,2.44%,2.41%,2.43%
4/2/2019,2.43%,2.44%,2.42%,2.42%
4/3/2019,2.42%,2.44%,2.41%,2.43%
4/4/2019,2.43%,2.45%,2.42%,2.43%
4/5/2019,2.43%,2.46%,2.42%,2.43%
